speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_0214,2001-06-29,Christian Noyer,inflation_outlook,Inflation is discussed mainly in institutional/price-stability terms; no sufficiently clear directional inflation trajectory. Long-run real prospects are explicitly optimistic.,1.0,0.0,1.0,1.0,0.0,1.0
ecb_1591,2014-01-30,Benoît Cœuré,inflation_outlook,"Price stability is discussed, but not with a clear directional inflation forecast. The excerpt stresses a weak and uneven nascent recovery and high unemployment.",1.0,0.0,1.0,-1.0,1.0,1.0
ecb_1431,2012-11-23,Mario Draghi,inflation_outlook,Price stability appears as a policy objective/consequence rather than a clear inflation trajectory; real activity is described as weakening amid the crisis.,1.0,0.0,1.0,-1.0,1.0,1.0
ecb_0092,1999-11-15,Eugenio Domingo Solans,"inflation_outlook,growth_outlook","Inflation and growth are substantively discussed largely as objectives/framework features, without a sufficiently clear forward directional trajectory in the supplied excerpt.",1.0,0.0,1.0,0.0,0.0,0.0
ecb_0418,2004-05-10,Otmar Issing,"inflation_outlook,growth_outlook","The speech substantively links asset prices, monetary policy and financial risks, but the supplied excerpt does not establish a single dominant forward trajectory for inflation or activity.",1.0,0.0,1.0,0.0,1.0,1.0
ecb_2388,2021-04-14,Luis de Guindos,growth_outlook,Pandemic-era discussion points to subdued inflation while also describing an expected recovery; uncertainty and financial-system vulnerabilities are substantive.,1.0,-1.0,1.0,1.0,1.0,1.0
ecb_2421,2021-10-11,Philip R. Lane,"inflation_outlook,growth_outlook","The focus is the policy toolbox at the effective lower bound; macro outcomes are discussed, but not with one dominant directional trajectory in the excerpt.",1.0,0.0,1.0,0.0,1.0,1.0
ecb_1899,2016-11-14,Peter Praet,growth_outlook,Inflation is expected to return toward the objective from low levels; real activity is discussed mainly as part of transmission/long-run saving mechanisms.,1.0,1.0,1.0,0.0,1.0,1.0
ecb_2383,2021-03-18,Luis de Guindos,,"Banking-union resilience, crisis management and remaining vulnerabilities are the substantive focus.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_1455,2013-02-07,Benoît Cœuré,"inflation_outlook,growth_outlook",Monetary policy and supervision are discussed jointly with substantive financial-stability concerns; no single macro directional outlook dominates.,1.0,0.0,1.0,0.0,1.0,1.0
ecb_2128,2018-07-10,Sabine Lautenschläger,"inflation_outlook,growth_outlook",Economic and financial statistics are discussed as inputs to policy and risk assessment rather than as a directional macro forecast.,1.0,0.0,1.0,0.0,1.0,1.0
ecb_0451,2004-09-23,Jean-Claude Trichet,,"The speech is explicitly about current conditions and prospects, with strengthening activity and upward price pressures/expected inflation developments alongside risks.",1.0,1.0,1.0,1.0,1.0,1.0
ecb_0944,2008-11-21,José Manuel González-Páramo,,"The crisis, systemic stress and uncertainty dominate; real activity is deteriorating. Inflation is not substantively developed in the supplied excerpt.",0.0,0.0,1.0,-1.0,1.0,1.0
ecb_2036,2017-10-17,Vítor Constâncio,"inflation_outlook,growth_outlook",The focus is the evolving risk landscape and financial vulnerabilities; macro variables are substantive but direction is mixed/conditional.,1.0,0.0,1.0,0.0,1.0,1.0
ecb_0917,2008-09-22,Jean-Claude Trichet,"inflation_outlook,growth_outlook","Macroeconomic performance and convergence are discussed in connection with euro adoption, but no dominant forward inflation or growth direction is sufficiently clear.",1.0,0.0,1.0,0.0,1.0,0.0
ecb_2202,2019-03-27,Luis de Guindos,"inflation_outlook,growth_outlook",International monetary-policy spillovers and financial-stability concerns dominate; macro directional effects are conditional and mixed.,1.0,0.0,1.0,0.0,1.0,1.0
ecb_0801,2007-11-26,Gertrude Tumpel-Gugerell,inflation_outlook,"The euro-area economy and benefits/challenges are substantive; growth prospects are positive, while inflation discussion is not a clear directional forecast.",1.0,0.0,1.0,1.0,1.0,0.0
ecb_0484,2004-12-03,Gertrude Tumpel-Gugerell,"inflation_outlook,growth_outlook","Exchange-rate movements are analysed through inflation, activity and financial channels, with substantial uncertainty but no single dominant macro trajectory.",1.0,0.0,1.0,0.0,1.0,1.0
ecb_2323,2020-07-13,Fabio Panetta,inflation_outlook,"Accession/convergence discussion contains substantive macro prospects and risks; growth direction is favorable, while inflation direction is not unambiguously dominant.",1.0,0.0,1.0,1.0,1.0,1.0
ecb_1938,2017-03-22,Sabine Lautenschläger,,"Banking risk, supervision and resilience are the substantive subjects.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_0051,1999-06-17,Otmar Issing,"inflation_outlook,growth_outlook",The speech concerns ECB strategy and policy under uncertainty; macro variables are substantive but no dominant directional trajectory is clear.,1.0,0.0,1.0,0.0,0.0,1.0
ecb_0623,2006-05-22,Otmar Issing,inflation_outlook,"Globalisation and EMU are linked to growth prospects and financial risks; growth implications are predominantly positive, while inflation direction is mixed.",1.0,0.0,1.0,1.0,1.0,1.0
ecb_0923,2008-10-10,Lorenzo Bini Smaghi,"inflation_outlook,growth_outlook",Currency internationalisation is analysed through monetary and financial channels; no dominant forward macro direction is sufficiently clear.,1.0,0.0,1.0,0.0,1.0,1.0
ecb_0351,2003-06-16,Willem F. Duisenberg,"inflation_outlook,growth_outlook","The retrospective on the ECB discusses macro performance and financial stability, but the supplied excerpt does not support a single forward direction.",1.0,0.0,1.0,0.0,1.0,1.0
ecb_2285,2020-01-08,Luis de Guindos,growth_outlook,The global financial system and Europe’s role are central; activity implications are discussed but direction is conditional/mixed.,0.0,0.0,1.0,0.0,1.0,1.0
ecb_1732,2015-06-04,Yves Mersch,,"Retail-payment innovation is discussed through trust, regulation, operational/systemic risk and resilience rather than macro outlook.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_2562,2023-06-01,Luis de Guindos,inflation_outlook,Financial-stability vulnerabilities are central; the macro backdrop is weakening. Inflation discussion is substantive but direction is not sufficiently one-sided.,1.0,0.0,1.0,-1.0,1.0,1.0
ecb_0223,2001-09-05,Tommaso Padoa-Schioppa,,"Clearing and settlement are discussed in terms of systemic safety, settlement risk and financial infrastructure.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_2108,2018-05-14,Benoît Cœuré,,"The future of central-bank money is analysed through payment-system and financial-system implications, with material risks/uncertainties.",0.0,0.0,0.0,0.0,1.0,1.0
ecb_0317,2002-12-09,Otmar Issing,"inflation_outlook,growth_outlook","Uncertainty is a central theme of monetary-policy analysis; both inflation and activity are substantive, but the directional outlook is deliberately conditional.",1.0,0.0,1.0,0.0,1.0,1.0
ecb_1139,2010-06-18,Jean-Claude Trichet,inflation_outlook,The crisis lessons include severe financial stress and weak real activity; inflation is discussed but without a clear dominant forward direction.,1.0,0.0,1.0,-1.0,1.0,1.0
