speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_2010,2017-09-14,Yves Mersch,growth_outlook,"Growth is substantively discussed, but the excerpt mostly describes past/current improvement and institutional reforms rather than a clear forward growth trajectory.",0,0,1,0,1,0
ecb_0834,2008-02-15,Jean-Claude Trichet,growth_outlook,Inflation direction is coded upward because the excerpt stresses above-2% inflation and risk of future second-round wage/price effects. Growth discussion is structural rather than a clear expected cyclical trajectory.,1,1,1,0,0,1
ecb_1431,2012-11-23,Mario Draghi,inflation_attention,Price stability is mentioned mainly as the ECB mandate/transmission objective; no substantive inflation-development discussion. Growth outlook is adverse: credit and economic growth are falling and the outlook is described as fragile.,0,0,1,-1,1,0
ecb_0161,2000-10-16,Sirkka Hämäläinen,growth_outlook,"Growth is discussed historically/structurally, without a sufficiently clear forward expected trajectory.",0,0,1,0,0,0
ecb_2197,2019-03-12,Sabine Lautenschläger,,,0,0,0,0,1,0
ecb_1455,2013-02-07,Benoît Cœuré,inflation_attention,"Inflation appears only in mandate/institutional trade-off discussion, not as substantive inflation developments.",0,0,0,0,1,0
ecb_0164,2000-10-28,Willem F. Duisenberg,inflation_outlook,"Inflation expectations are substantively discussed as part of financial-market stability, but no directional forward inflation path is given.",1,0,0,0,1,0
ecb_1938,2017-03-22,Sabine Lautenschläger,uncertainty_attention,Risk management and banking-sector resilience are central. Brexit uncertainty and preparation for a hard-Brexit scenario are substantively discussed.,0,0,0,0,1,1
ecb_2108,2018-05-14,Benoît Cœuré,inflation_outlook;growth_outlook,"Output and inflation are discussed substantively in policy simulations, but these are hypothetical effects rather than a current macroeconomic outlook, so both directional outlooks are neutral.",1,0,1,0,1,0
ecb_0156,2000-09-23,Willem F. Duisenberg,financial_stability_attention,Financial stability is substantively discussed in the context of international cooperation and contagion; price stability references are mainly mandate-related.,0,0,0,0,1,0
ecb_2717,2025-06-11,Christine Lagarde,growth_outlook,"Growth/output is discussed materially in the historical and structural account of global trade, but no clear forward real-activity trajectory is established.",0,0,1,0,0,0
ecb_0688,2006-12-20,Jean-Claude Trichet,,Inflation risks are explicitly tilted upward; the baseline calls for solid growth around potential despite downside risks.,1,1,1,1,0,1
ecb_2562,2023-06-01,Luis de Guindos,inflation_outlook,Inflation outlook is mixed: some improvement is noted but core inflation is described as sticky. Growth outlook is fragile with explicit downside risks.,1,0,1,-1,1,1
ecb_0351,2003-06-16,Willem F. Duisenberg,inflation_outlook;growth_outlook,The price-stability outlook is called favourable but without an explicit directional inflation path; growth is described as currently slow without a clear expected trajectory.,1,0,1,0,0,1
ecb_2036,2017-10-17,Vítor Constâncio,inflation_outlook,"Inflation discussion is mixed between a protracted low-inflation environment and eventual upward pressure from recovery, so direction is neutral. Continued resilient recovery is explicitly expected.",1,0,1,1,1,1
ecb_2133,2018-09-06,Yves Mersch,,,0,0,0,0,1,0
ecb_0923,2008-10-10,Lorenzo Bini Smaghi,financial_stability_attention,"Macro-financial implications are mentioned, but the excerpt does not substantively discuss financial-system risk/resilience in the coding-rule sense.",0,0,0,0,0,0
ecb_2113,2018-05-17,Vítor Constâncio,growth_outlook,"Real activity and recessionary shocks are substantive to the institutional argument, but the forward macroeconomic trajectory is not clearly directional.",0,0,1,0,1,0
ecb_0801,2007-11-26,Gertrude Tumpel-Gugerell,inflation_outlook;growth_outlook,"Inflation and growth differentials are discussed substantively, mainly descriptively/structurally rather than as directional outlooks.",1,0,1,0,0,0
ecb_2128,2018-07-10,Sabine Lautenschläger,uncertainty_attention,The statement that statistics quantifies uncertainty is methodological and does not substantively emphasize uncertainty in the economic outlook.,0,0,0,0,0,0
ecb_2383,2021-03-18,Luis de Guindos,,,0,0,0,0,1,0
