evidence,variable,ceiling_kappa,speech_id,date,speaker,title,code_A,code_B,A_flagged_borderline,words_full,words_in_excerpt,text_file,note_A,note_B,resolved_code,rule_implication,rule_is_new
identical text,financial_stability_attention,-0.154,ecb_0114,2000-02-24,Christian Noyer,The outlook for the euro area economy    and its financial markets,0,1,False,1673,1673,ecb_0114.txt,Upward risks to price stability are explicit and the cyclical upswing is expected to remain strong/sustainable. Risk assessment is routine rather than unusually uncertain.,The speech explicitly addresses the euro-area outlook and financial markets; activity prospects are strengthening while inflation direction is mixed/conditional.,0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
identical text,financial_stability_attention,-0.154,ecb_0689,2007-01-15,Gertrude Tumpel-Gugerell,Panel intervention at the Euro conference hosted by Banka Slovenije,1,0,True,1505,1505,ecb_0689.txt,Inflation is discussed but no forward inflation path is specified. Economic activity is expanding robustly. Rapid credit growth is explicitly linked to financial-stability risk.,The euro-area assessment is broadly favorable for activity; inflation is substantive but not clearly directional in the supplied excerpt.,1,"Existing financial-stability rule: explicit, developed discussion of systemic risk, contagion, banking-system vulnerability/resilience, macroprudential risk, or financial-system stress is financial-stability attention = 1.",no
identical text,financial_stability_attention,-0.154,ecb_0917,2008-09-22,Jean-Claude Trichet,The entry of Slovakia into the euro area,0,1,False,1822,1822,ecb_0917.txt,Future inflationary pressures after euro adoption are explicitly highlighted. Strong growth is mainly backward-looking; no clear expected growth path is stated.,"Macroeconomic performance and convergence are discussed in connection with euro adoption, but no dominant forward inflation or growth direction is sufficiently clear.",0,"Existing financial-stability rule: references to financial markets, credit, rates, integration, or monetary-policy transmission are 0 unless systemic/stability-related concerns are substantively addressed.",no
identical text,financial_stability_attention,-0.154,ecb_1732,2015-06-04,Yves Mersch,"Getting the balance right: innovation, trust and regulation in retail payments",0,1,False,1878,1878,ecb_1732.txt,,"Retail-payment innovation is discussed through trust, regulation, operational/systemic risk and resilience rather than macro outlook.",0,"Payments/operations boundary: safety, security, settlement, payment-system continuity, or operational resilience does not by itself constitute financial-stability attention. Code financial stability = 1 only when the discussion is explicitly tied to system-wide impairment, contagion, banking-system resilience, macroprudential risk, or the capacity of financial intermediation to serve the economy.",yes
identical text,financial_stability_attention,-0.154,ecb_2421,2021-10-11,Philip R. Lane,The monetary policy toolbox and the effective lower bound,0,1,False,1309,1309,ecb_2421.txt,"The speech is about the reaction function/toolbox. Forecast uncertainty is acknowledged, but not emphasized enough to code uncertainty attention.","The focus is the policy toolbox at the effective lower bound; macro outcomes are discussed, but not with one dominant directional trajectory in the excerpt.",0,"Substantive-attention threshold: code attention = 1 only when the construct is an object of developed analysis (for example, multiple connected claims, a focused passage, or a material role in the argument). An isolated consequence, mandate reference, example, or passing mention is 0. In a very short speech, proportional centrality can satisfy the threshold.",yes
identical text,inflation_outlook,0.059,ecb_0114,2000-02-24,Christian Noyer,The outlook for the euro area economy    and its financial markets,1,0,False,1673,1673,ecb_0114.txt,Upward risks to price stability are explicit and the cyclical upswing is expected to remain strong/sustainable. Risk assessment is routine rather than unusually uncertain.,The speech explicitly addresses the euro-area outlook and financial markets; activity prospects are strengthening while inflation direction is mixed/conditional.,1,"Existing inflation-outlook rule: explicit forward inflationary pressure, rising inflation, or clearly upside-dominated price risks supports inflation_outlook = +1 when that is the dominant forward emphasis.",no
identical text,inflation_outlook,0.059,ecb_0788,2007-10-21,Lorenzo Bini Smaghi,Financial globalisation and excess liquidity: monetary policies and new uncertainties,0,1,False,1574,1574,ecb_0788.txt,Market/funding liquidity fragility and abrupt liquidity dry-ups are central; uncertainty is part of the mechanism discussed.,Excess liquidity and globalisation are tied to upside price risks and substantial uncertainty; real-activity implications are mixed.,0,"Existing outlook rule: descriptive, mixed, or insufficient inflation evidence is 0; a current level or isolated inflationary/disinflationary channel is not by itself a forward outlook.",no
identical text,inflation_outlook,0.059,ecb_0917,2008-09-22,Jean-Claude Trichet,The entry of Slovakia into the euro area,1,0,False,1822,1822,ecb_0917.txt,Future inflationary pressures after euro adoption are explicitly highlighted. Strong growth is mainly backward-looking; no clear expected growth path is stated.,"Macroeconomic performance and convergence are discussed in connection with euro adoption, but no dominant forward inflation or growth direction is sufficiently clear.",1,"Existing inflation-outlook rule: explicit forward inflationary pressure, rising inflation, or clearly upside-dominated price risks supports inflation_outlook = +1 when that is the dominant forward emphasis.",no
identical text,inflation_outlook,0.059,ecb_2388,2021-04-14,Luis de Guindos,Presentation of the ECB Annual Report 2020 to the Committee on Economic and Monetary Affairs of the European Parliament  ,1,-1,True,1358,1358,ecb_2388.txt,"Headline inflation is explicitly expected to rise in coming months even though medium-term inflation remains below the aim. Activity is expected to recover and pick up strongly, despite a fragile recovery.",Pandemic-era discussion points to subdued inflation while also describing an expected recovery; uncertainty and financial-system vulnerabilities are substantive.,-1,"Conflicting inflation horizons: when near-term headline inflation and the explicitly stated medium-term/policy-relevant inflation outlook point in opposite directions, classify the outlook using the medium-term policy-relevant horizon; transitory near-term movements do not overturn that explicit medium-term direction.",yes
identical text,uncertainty_attention,0.182,ecb_0114,2000-02-24,Christian Noyer,The outlook for the euro area economy    and its financial markets,0,1,True,1673,1673,ecb_0114.txt,Upward risks to price stability are explicit and the cyclical upswing is expected to remain strong/sustainable. Risk assessment is routine rather than unusually uncertain.,The speech explicitly addresses the euro-area outlook and financial markets; activity prospects are strengthening while inflation direction is mixed/conditional.,0,"Uncertainty threshold: acknowledged, intrinsic, methodological, or routine forecast uncertainty is insufficient. Code uncertainty = 1 only when unpredictability, unusually wide outcomes, exceptional uncertainty, or uncertainty surrounding the economic outlook is itself emphasized or materially shapes the economic/policy argument.",yes
